channel_id,video_id,comment_id,date,author,comment_text
UCPH3ZPeqWqRVZ_ef4vOZgSw,tewlw2R8rvo,UgwOgrJ1dEogRcpbQlR4AaABAg,2023-04-22T00:34:43Z,MrBiffi,Es gibt hunderte Beispiele wie sie Frau W. die Schweiz und die Unabhängigkeit derer feiern. Die Kredite Schweiz kennt SIe ja wohl auch. Neuerdings auch in Rubel
UCPH3ZPeqWqRVZ_ef4vOZgSw,tewlw2R8rvo,Ugz1ejWaoJtvSsnMZol4AaABAg,2023-04-21T17:12:22Z,Paul Panther,Was hat die russische Terrorarmee in der Ukraine zu suchen? 🇷🇺🇷🇺🇷🇺💩🤮🤮
UCPH3ZPeqWqRVZ_ef4vOZgSw,tewlw2R8rvo,Ugyw1LmT-gDRdbCLPVJ4AaABAg,2023-04-21T12:50:18Z,Nichtraubender Hotzenplotz,"KameraSpieglein, KameraSpieglein, an der Wand, wer ist die egobeladenste putinmonsterfreundlichste ungebildetgerademalfähigschleimspurkommentarschreibendelobeshymnenverteilendealtostdeutscheschulabbrecherhintersichverdammelnde Mätresse des Bösen im Land?

🙄"
UCPH3ZPeqWqRVZ_ef4vOZgSw,tewlw2R8rvo,Ugycg_7jjB8GUQGLKnR4AaABAg,2023-04-20T13:13:28Z,Wilhelm Braun,VDR Wagenknecht erstmal danke schön erstmal danke schön für ihren wunderbaren Vortrag und für die Tipps die sie uns gegeben haben ich schaue sehr gerne bei Ihnen rein und richte mich auch danach so kann es mich mit dem Bankencrash und so weiter nicht treffen dann ich habe reichlich Schulden und wenn mir die die Inflation Weg Frist ist das nicht schlimm meine Immobilien sind auch noch beide nicht komplett bezahlt das macht auch nichts war der Stadt mir dazu Hilfe kommt oder die Banken daran überfressen kaputt gehen das ist also nicht so schlimm sie können aber vielleicht im nächsten Podcast und kleinen Vortrag dazu halten was der Otto-Normalverbraucher schlauerweise machen sollte ja damit ich weiß dass ich auch noch auf dem richtigen Weg bin danke
UCPH3ZPeqWqRVZ_ef4vOZgSw,tewlw2R8rvo,UgzyIQj8naMWjbyFoUB4AaABAg,2023-04-20T13:07:16Z,Wilhelm Braun,Liebe Frau Wagenknecht bitte werden Sie doch endlich schaffen sie schaffen Sie uns das unfähige Politiker Pack vom Halse damit es wieder weitergeht mit Deutschland und dass sie wieder Industrie ansiedeln dass wir in Deutschland wieder normale Unternehmen haben die auch solvent sind und die Politiker die jetzt fahren die jetzt um die Welt fahren und erklären dass sie mit Putin Krieg haben die sollten nach Hause geschickt werden in die Sonderschule aus brettergymnasium und dort so lange bleiben bis sie entweder was gelernt haben oder aber auch Sozialhilfe gesetzt werden man sollte ihnen wegen Unfähigkeit den Adelstitel wegnehmen also dass sie keine Politiker mehr sein können Frau Dr Wagenknecht bitte helfen sie braucht sie
UCPH3ZPeqWqRVZ_ef4vOZgSw,tewlw2R8rvo,Ugw8a4Ua5SJZs9h1r0B4AaABAg,2023-04-20T12:46:26Z,Wilhelm Braun,Das passiert mit den Banken immer wieder wenn man das nicht wirklich kontrolliert und diese Kontrollen taugen nichts die im Moment angewendet werden so kann jeder Banker machen ungefähr was haben möchte und muss ich um nichts scheren es ist schon mal hilfreich dass sie das kritisieren und es wäre noch besser wenn Sie unsere Kanzlerin werden dann wäre so was bei uns ausgeschlossen
UCPH3ZPeqWqRVZ_ef4vOZgSw,tewlw2R8rvo,UgzJ7QAb_MVP2HehkOZ4AaABAg,2023-04-19T21:57:41Z,Günter Zipfel,"Frau Wagenknecht Sie sind eine ganz ganz tolle  
Politikerin ,machen Sie so Weiter. …Supper."
UCPH3ZPeqWqRVZ_ef4vOZgSw,tewlw2R8rvo,Ugz2t7v35p3TSdp-_1t4AaABAg,2023-04-19T21:54:49Z,Günter Zipfel,"Frau Sahara Wagenknecht ist für sehr Viele Bürger eine  Supper tolle Politikerin, auch Habeck sollte auch mal etwas von 
Frau 
Wagenknecht  lehrnen ."
UCPH3ZPeqWqRVZ_ef4vOZgSw,tewlw2R8rvo,Ugwh1EH7R-bkdHB51dJ4AaABAg,2023-04-19T20:08:01Z,Alexander Jost,"Frau Wagenknecht man sieht dass SPD und Grünen Deutschland Verräter sind, SPD und Grünen ruinieren Deutschland warum wird nix da gegen gemacht, haben USA so ein großen Einfluss auf Deutschland."
UCPH3ZPeqWqRVZ_ef4vOZgSw,tewlw2R8rvo,UgwaO7zN6fA4gCAFk3Z4AaABAg,2023-04-19T16:42:45Z,Dr. Hydro,"Ja ja, die Wagenknecht und ihre Freunde. Das sind die ganzen abgehalfterten Typen aus der Publizistik und Politik die nur dusseligen Quatsch erzählen und daher für keinen ernsthaften Job mehr in Frage kommen. Die Folge ist mediale Elends Prostitution in der sich diese Typen für ein wenig Aufmerksamkeit den zwanzig % unser Bevölkerung mit einem geschlossenen rechtsextremen Weltbild hinter der nächsten Mülltonne hingeben müßen.  Im übertragenen Sinne."
