videoId,textOriginal,authorDisplayName,publishedAt,commentId
t68QfjvISZ8,"Bis die Grünen abgewählt sind, werden sie einen irreparablen Schaden hinterlassen haben. Und falls die Idiot*innen wie *außen wieder gewählt werden, dann... gute Nacht",Gunter Morgenthal,2023-05-01T08:55:35Z,UgzEdUBiGZC4ofhQzCN4AaABAg
t68QfjvISZ8,Verbraucherschutz: Die Regierung schützt sich vor den Verbrauchern.,Abtipp Coach,2023-05-01T06:59:02Z,Ugxh8ekHIXEYqsUb-LR4AaABAg
t68QfjvISZ8,Schlau und hübsch dazu.,SuperSystem S,2023-05-01T06:47:46Z,UgwNPQSGIIBW_xoNIop4AaABAg
t68QfjvISZ8,"Reiner Populismus, Frau Wagenknecht! Was ist aus Ihnen geworden? Ich kann kaum glauben, dass ich Sie mal gewählt habe.

Wärmepumpen sind in viel Altbauten wirtschaftlich einsetzbar ohne kostspielige Dämmmaßmahmen umsetzten zu müssen. Mit Ökostrom oder Strom aus der eigenen PV Anlagen betrieben, muss man auch keinen Kohle- oder Atom Strom einsetzen. Bei richtiger Planung sind viele WP auch heute schon wirtschaftlich (!) einsetzbar.  Durch steigende Gas– und Heizölkosten werden Öl oder Gasheizungen zunehmend teurer und somit unwirtschaftlicher. 

Aber was will man von jemanden erwarten, der Putin weiterhin als Opfer darstellt.",NeuGoKo To,2023-05-01T06:29:43Z,UgygbgetMzAuLCGSfIx4AaABAg
t68QfjvISZ8,"Verbraucherschutz.
Herr habeck, schuetzen sie uns vor ihnen",Rudolf Bauer,2023-05-01T05:02:43Z,Ugx8Kq5-ZidIqliaJyt4AaABAg
t68QfjvISZ8,Auch sone Brandstifterin 🤮,Kagan Sener,2023-05-01T01:35:00Z,Ugz3NqXZwwyitkCReOx4AaABAg
t68QfjvISZ8,Nur leeres geschwafel der Politik,Andreas Kämpf,2023-04-30T23:19:54Z,UgzL_JIA7ZtLzJnErVB4AaABAg
t68QfjvISZ8,"Ich staune immer wieder,dass ein Habeck sich immer wieder in seiner eigenen Dummheit topen kannn😮",Arturo Gastro,2023-04-30T22:03:57Z,UgwdVQCm8TdnHbnBhDV4AaABAg
t68QfjvISZ8,Warum macht keiner was?????,Wanja,2023-04-30T21:02:13Z,UgzE9SYsAV0k3ISYzXt4AaABAg
t68QfjvISZ8,"Ja, ich freue mich, in ca. 5-8 Jahren meine dann 25 Jahre alte Öölheizung gegen eine moderne Wärmepumpe auszutauschen. Das wird die Putin-Zumsl Wagenknecht nicht verhindern.",Toni Fischer,2023-04-30T20:47:39Z,Ugx_lwb7dUCDw07354p4AaABAg
t68QfjvISZ8,"Eine verdeckte Bankrott-Erklärung dieser Hampelampel, nur noch zum Ko.....",Hans-Jürgen Gesell,2023-04-30T20:29:57Z,Ugzm1440c0fcQgxYY1R4AaABAg
t68QfjvISZ8,Die Idioten die Europa regieren führen uns in Abgrund aber es sieht so aus dass es keinen das stört.,Marcus Osarovsky,2023-04-30T20:28:05Z,UgxwF9zPX9E8-qN9GaV4AaABAg
t68QfjvISZ8,"Gehen sie Mal lieber wieder ins Plenum. Sie kommen ihrer Pflicht nicht nach. Sie furzen lieber in den Medien rum, als Politik zu machen. Pfui...sie sind ekelhaft.",Christian Rath,2023-04-30T18:47:07Z,UgwzrkIyQXuBMTczczB4AaABAg
t68QfjvISZ8,Man sollte die Grünen verschrotten,Ronny Rode,2023-04-30T17:22:37Z,UgzCxRt2_TQqI33WWJl4AaABAg
t68QfjvISZ8,Ich kaufe alle her damit ich verkaufe alle ins Ausland 😂😂😂😂,Mimi Smit,2023-04-30T17:04:16Z,Ugxdiw8cqftGEY4WunZ4AaABAg
t68QfjvISZ8,Es ist Verbraucherschutz zu dem man gezwungen wird ! 💩🙈,Michael B,2023-04-30T17:03:09Z,Ugzi3itVPDpL9yl0K_94AaABAg
t68QfjvISZ8,"Hallo Frau Wagenknecht, Sie sind denke ich in der Pflicht als Bundestagsabgeordnete gegen diese Machenschaft eine Verfassungsschutzklage anzustreben. Hier ist eine klare Enteignung am gange. Wo sind unsere Bürgerrechte? Das ist wie bei Corona. Auch die Co2 und Klimathematik kann nicht eindeutig belegt werden. Sie könne uns ""das Volk"" vertreten. Nicht nur aufzeigen sondern handeln. Wie kann eine so kleine Partei wir die Grünen ganz Deutschland in Geiselhaft nehmen? Rufen sie mit Ihren Parteivertretern in jedem kleinen Dorf eine Info Veranstaltung auf und informieren Sie das Volk regional vor Ort. Nicht nur in Berlin.",Haeuser Wie Wir,2023-04-30T16:48:15Z,Ugy_9O1xloP-zxZLJdd4AaABAg
t68QfjvISZ8,"Ihr seid keine Linken, Ihr seid AFD.Ich habe von Sahra und Oskar mal viel gehalten und "" links"" gewaehlt. Jetzt ist die "" Linke fuer mich unwaehlbar.Diese "" sozialistische Barbie "" grausam. PUTINS SOCKENPUPPE.",Karin Zier,2023-04-30T16:27:11Z,UgwytbCfrxTCblNC8BF4AaABAg
t68QfjvISZ8,"Wenn ich mein Haus beim nächsten Sturm verliere, dann bau ich mir doch lieber ne neue Wärmepumpe ein.",Peter Steffens,2023-04-30T15:39:54Z,UgzI6AGRTPcgFJm2sKd4AaABAg
t68QfjvISZ8,Sahra du bist eine Frau. Und Frauen haben halt keine Ahnung von Technik.,Peter Steffens,2023-04-30T15:37:17Z,Ugxch5Aud2hmttUt_TR4AaABAg
t68QfjvISZ8,"Warum verkaufen wir nicht alle unser Haus und verleben das Geld.
Dann hören wir mit der Arbeit auf und legen uns in die soziale Hängematte.
Bekommen Taschengeld, brauchen nichts für Heizung zahlen. 
Für den Rest reichen wir Anträge ein.... 
Dann würde dem Staat ziemlich schnell die Luft ausgehen.",Roland D. LeBay,2023-04-30T15:09:54Z,UgxTYjQOLtXN4s3i8FZ4AaABAg
t68QfjvISZ8,"Nur noch korrupt, diese dummi Bande!",K. D E,2023-04-30T14:52:02Z,Ugy0B3ZPAKBRnWl5MCx4AaABAg
t68QfjvISZ8,ich dachte die Wärmepumpen werden nur mit Atomstrom betrieben,reiner808,2023-04-30T14:30:18Z,Ugw3wfumShhPR_NCha54AaABAg
t68QfjvISZ8,Ich habe großen Respekt vor Ihnen Frau Wagenknecht!,T,2023-04-30T12:20:34Z,UgwKYUciV0lFsqA8mL94AaABAg
t68QfjvISZ8,Sahra Wagenknecht 👎👎👎,Lisa Niemand,2023-04-30T09:13:47Z,Ugx6-VJNvyOxAAJEWyt4AaABAg
t68QfjvISZ8,"Mir wäre es jetzt einfach genug mit dieser Verarschung!
Habock, Pendlerpauschale, Insolvenz, Verbraucherschutz 🤷🏻‍♂️
Wenn man unfähig ist und auf ganzer Linie überfordert sollte man es lassen!
Man hat auch offensichtlich inhaltlich nichts aus dem „Lang erklärt uns gesunde Ernährung“-Desaster gelernt!
Es sind diese Grünen Khmer die dieses Land zersetzen. Auch „Europa‘s EU“ wird daran verenden!
Wenn der Hauptzahler Germoney nichts mehr hat, ist sich ganz schnell wieder jeder selbst der nächste.",Marc Becker,2023-04-30T08:45:50Z,UgxnopYOTL4qfjKN-4x4AaABAg
t68QfjvISZ8,"Was soll denn diese Panikmache hier? Es wird keiner gezwungen seine Heizung zu ersetzen! 
Die Frau nervt einfach nur, genau wie die Grünen. Beide Parteien brauchen wir in keiner Regierung. 
So jetzt dürft ihr euch über meinen Post auslassen 😊",Magoux X,2023-04-30T08:00:38Z,Ugx7VzSuNLFbTSQi9oN4AaABAg
